City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
6,Biak,ID,77.5,light rain,-0.91,122.88,Kost Ariz
8,Kirakira,SB,78.84,light rain,-10.45,161.92,SanBiz Lodge
18,Porto Novo,BJ,80.6,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
21,Sampit,ID,75.22,heavy intensity rain,-2.53,112.95,Aquarius Boutique Hotel Sampit
26,San Cristobal,VE,84.2,scattered clouds,7.77,-72.22,Pirineos
28,Kapaa,US,78.8,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
30,Caravelas,BR,81.12,moderate rain,-17.71,-39.25,Pousada dos Navegantes
31,Salalah,OM,77.0,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
35,Takoradi,GH,79.23,light rain,4.88,-1.76,Raybow International Hotel
37,Am Timan,TD,82.13,clear sky,11.03,20.28,Palais du chef Canton Salamt
38,Hilo,US,75.2,moderate rain,19.73,-155.09,Hilo Hawaiian Hotel
43,Puerto Ayora,EC,77.0,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
45,Besuki,ID,79.61,clear sky,-7.73,113.7,cv reksa bumi
46,Rincon,US,80.6,broken clouds,32.3,-81.24,Bent tree subdivision
50,Maceio,BR,84.2,broken clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
54,Vanimo,PG,76.1,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
57,Meulaboh,ID,76.68,light rain,4.14,96.13,Kost Pria
58,Ratnagiri,IN,79.0,clear sky,16.98,73.3,Hotel Landmark
59,Madaoua,NE,82.81,clear sky,14.07,5.96,
60,Kupang,ID,79.88,few clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
63,Samana,DO,87.8,scattered clouds,19.21,-69.34,The Bannister - Hotel & Yacht Club
65,Nouadhibou,MR,77.0,clear sky,20.93,-17.03,El Medina
68,Hithadhoo,MV,83.3,light rain,-0.6,73.08,Scoop Guest House
72,Taoudenni,ML,86.38,overcast clouds,22.68,-3.98,
73,Itarema,BR,84.29,overcast clouds,-2.92,-39.92,Windvillage
84,Abu Dhabi,AE,82.4,clear sky,24.47,54.37,Beach Rotana
85,Behbahan,IR,77.0,clear sky,30.6,50.24,Esteghlal Hotel
86,Fare,PF,79.74,scattered clouds,-16.7,-151.02,Maitai Lapita Village Huahine
88,Cabedelo,BR,84.2,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
93,Ascension,US,75.2,broken clouds,30.22,-90.9,Highland Inn
94,Viedma,AR,75.99,scattered clouds,-40.81,-63.0,Hotel Cristal
96,Victoria,HK,78.01,clear sky,22.29,114.16,Mini Hotel Central
106,Puerto Baquerizo Moreno,EC,75.2,few clouds,-0.9,-89.6,Hotel los Algarrobos
109,Atuona,PF,77.61,overcast clouds,-9.8,-139.03,Villa Enata
112,General Roca,AR,84.2,clear sky,-39.03,-67.58,Hotel El Recreo
117,Vila Velha,BR,78.8,few clouds,-20.33,-40.29,Hotel Vitória Palace
118,San Patricio,US,82.0,scattered clouds,28.02,-97.52,"Motel 6 Sinton, TX"
121,Conakry,GN,86.0,few clouds,9.54,-13.68,Riviera Royal Hotel
123,Sola,VU,82.4,overcast clouds,-13.88,167.55,Ulkel Guest House
129,Yulara,AU,75.2,overcast clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
130,Bengkulu,ID,76.66,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
131,Mvomero,TZ,80.6,scattered clouds,-6.25,38.67,Kisampa Bush Retreat
138,Makakilo City,US,78.8,light rain,21.35,-158.09,Marriott's Ko Olina Beach Club
140,Gondanglegi,ID,75.69,clear sky,-7.75,112.01,Gg. Munasir Homestay
142,Nabire,ID,76.78,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
147,Boyolangu,ID,75.24,clear sky,-8.12,111.89,Yos ega cv
153,Arraial Do Cabo,BR,77.0,broken clouds,-22.97,-42.03,Pousada Porto Praia
154,Champerico,GT,82.4,broken clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
156,Carrollton,US,75.0,few clouds,32.95,-96.89,Days Inn by Wyndham North Dallas/Farmers Branch
159,Iraray,PH,78.24,overcast clouds,8.99,118.05,
160,Samarai,PG,80.89,light rain,-10.62,150.67,Nuli Sapi
164,Adrar,MR,89.44,overcast clouds,20.5,-10.07,
167,Batticaloa,LK,80.76,moderate rain,7.71,81.69,Grand Star Guest House
175,Boffa,GN,80.82,light rain,10.17,-14.03,Hôtel Niara Belly
176,Gamba,GA,76.48,broken clouds,-2.65,10.0,
181,Cabo San Lucas,MX,84.0,broken clouds,22.89,-109.91,Hotel Tesoro Los Cabos
184,Georgetown,MY,78.8,moderate rain,5.41,100.34,Cititel Penang
200,Ferkessedougou,CI,81.27,broken clouds,9.6,-5.2,Hotel Chateau
205,Cayenne,GF,78.8,heavy intensity rain,4.93,-52.33,Hôtel Le Dronmi
207,Piacabucu,BR,81.14,clear sky,-10.41,-36.43,Piaçabuçu News
208,Koulikoro,ML,83.97,clear sky,14.0,-7.75,
215,Port Moresby,PG,75.2,broken clouds,-9.44,147.18,Lamana Hotel
216,Faanui,PF,78.76,broken clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
220,Kavieng,PG,82.31,scattered clouds,-2.57,150.8,Nusa Island Retreat
223,Acapulco,MX,86.0,clear sky,16.86,-99.89,HS Hotsson Smart Acapulco
225,Nhulunbuy,AU,77.0,broken clouds,-12.23,136.77,East Arnhem Real Estate
226,Mercedes,AR,84.0,broken clouds,-34.65,-59.43,Posada del Inti Centro
227,Palmer,US,75.2,few clouds,42.16,-72.33,Wedgewood Motel
229,Tautira,PF,82.4,few clouds,-17.73,-149.15,Pension Oaoa
231,Kontagora,NG,77.76,scattered clouds,10.4,5.47,City Gate Inn
235,Wilmington,US,78.8,clear sky,34.23,-77.94,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
237,Micheweni,TZ,79.77,overcast clouds,-4.97,39.83,
242,Mmabatho,ZA,78.8,clear sky,-25.85,25.63,Mahikeng Guest Apartments
244,Sao Filipe,CV,79.52,light rain,14.9,-24.5,Tortuga B&B
245,Puerto Madero,MX,86.0,scattered clouds,14.72,-92.42,Hotel La Central
246,Nicoya,CR,78.8,drizzle,10.15,-85.45,Guayacan Real
248,Imbituba,BR,77.0,few clouds,-28.24,-48.67,Praia Hotel Imbituba
254,Esmeraldas,BR,87.8,broken clouds,-19.76,-44.31,Hotel Fazenda Lagoa Azul
256,Ormara,PK,76.06,clear sky,25.21,64.64,
257,Butaritari,KI,80.76,overcast clouds,3.07,172.79,Isles Sunset Lodge
265,Aquiraz,BR,86.0,few clouds,-3.9,-38.39,Hotel Laguna Blu
268,Mangrol,IN,79.93,clear sky,21.12,70.12,Hotel The Royal Honours
273,Davidson,US,75.99,few clouds,36.15,-86.78,Best Western Plus Music Row
274,Empalme,MX,84.99,scattered clouds,27.97,-110.82,El Limonal
279,Kahului,US,75.99,scattered clouds,20.89,-156.47,Maui Seaside Hotel
281,Bubaque,GW,85.41,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
284,Itoman,JP,75.2,few clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
287,Port-Gentil,GA,80.6,scattered clouds,-0.72,8.78,Fengshui Residence
288,Sterling,US,75.2,few clouds,39.01,-77.43,Hampton Inn & Suites Washington-Dulles International Airport
296,Waingapu,ID,80.17,overcast clouds,-9.66,120.26,Pondok Wisata Elim
300,Ojinaga,MX,78.01,clear sky,29.57,-104.42,Suites Las Palmas
302,Jawhar,SO,77.47,light rain,2.78,45.5,cosoble spare parts
306,Point Pedro,LK,82.26,light rain,9.82,80.23,Gtr homes
312,Poum,NC,76.44,clear sky,-20.23,164.02,Gîte kajeon
313,Warri,NG,77.92,moderate rain,5.52,5.75,BON Hotel Delta
320,Mikhaylovsk,RU,82.27,broken clouds,45.13,42.03,Sun Marko
322,Hambantota,LK,77.0,moderate rain,6.12,81.12,Bungalow 63
323,Avera,US,77.0,scattered clouds,33.19,-82.53,
325,Zambezi,ZM,78.17,clear sky,-13.54,23.1,Royal Kutachika Lodge
326,Road Town,VG,84.99,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
329,Bac Lieu,VN,78.53,broken clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
334,Axim,GH,78.84,light rain,4.87,-2.24,AXIM BEACH RESORT AND SPA
335,Dalton,US,75.99,overcast clouds,34.77,-84.97,Hampton Inn Dalton
336,Alofi,NU,75.2,clear sky,-19.06,-169.92,Taloa Heights
337,Kibala,TD,82.4,clear sky,9.11,18.35,
340,Jibuti,DJ,82.4,scattered clouds,11.5,42.5,Orchid Main Camp Goubet
341,Marabba,SD,83.68,broken clouds,12.35,32.18,
345,Kango,GA,75.18,light rain,0.19,10.1,Hôtel Bar Restaurant Le Bercail
346,Sao Jose Da Coroa Grande,BR,80.56,few clouds,-8.9,-35.15,Crôa Mares Hotel
347,Quelimane,MZ,82.4,clear sky,-17.88,36.89,Hotel Flamingo
349,Yeppoon,AU,75.2,broken clouds,-23.13,150.73,Villa Mar Colina
351,Morondava,MG,80.22,few clouds,-20.28,44.28,La Case Bambou
353,Ghanzi,BW,87.82,clear sky,-21.57,21.78,Ghanzi Farmhouse
355,Ahuimanu,US,78.8,moderate rain,21.44,-157.84,Paradise Bay Resort
357,Yaring,TH,78.64,broken clouds,6.87,101.37,My Home Pokku
360,Conceicao Da Barra,BR,80.56,clear sky,-18.59,-39.73,Cricaré Praia Hotel
361,Singaraja,ID,78.69,clear sky,-8.11,115.09,Puri Bagus Lovina Resort
363,Biltine,TD,80.83,clear sky,14.53,20.92,Hôtel Trois Étoiles de Biltine
365,Isangel,VU,77.36,clear sky,-19.55,169.27,Volcano Sea View Tree House
371,Kudahuvadhoo,MV,84.0,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
373,Port Blair,IN,81.3,clear sky,11.67,92.75,Fortune Resort Bay Island
374,Labuhan,ID,78.91,clear sky,-6.88,112.21,bador sepret
376,Tessalit,ML,78.57,overcast clouds,20.2,1.01,
382,Boa Esperanca,BR,87.84,clear sky,-21.09,-45.57,JHS Palace Hotel
383,Namatanai,PG,79.32,broken clouds,-3.67,152.43,Namatanai Hotel
384,Bonthe,SL,80.35,overcast clouds,7.53,-12.51,Bonthe Holiday Village
386,Touros,BR,87.8,scattered clouds,-5.2,-35.46,INN NEW HORIZON
391,Bassar,TG,82.4,clear sky,9.25,0.78,ABOU KPANKISSI
392,Ixtapa,MX,86.0,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
394,Santa Maria,BR,86.0,clear sky,-29.68,-53.81,Hotel Morotin
395,Castro,BR,80.53,clear sky,-24.79,-50.01,CHACARA BAILLY
400,Nishihara,JP,75.2,clear sky,26.18,127.76,Minshuku Agaihama
402,Kavaratti,IN,83.16,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
406,Paredon,MX,88.99,clear sky,16.03,-93.87,Hotel Principal Paredon
409,Manaure,CO,83.64,overcast clouds,11.78,-72.44,Del mar vendra
415,Sur,OM,75.63,clear sky,22.57,59.53,Sur Plaza Hotel
417,Manta,EC,78.8,broken clouds,-0.95,-80.73,Balandra Hotel
418,Berbera,SO,79.34,clear sky,10.44,45.01,Damal Hotel
428,Harper,LR,79.66,overcast clouds,4.38,-7.72,Screensaver
429,Padang,ID,77.23,moderate rain,-0.95,100.35,Mercure Padang
433,Teluk Intan,MY,77.0,heavy intensity rain,4.03,101.02,Angsoka Hotel Teluk Intan
437,Guinticgan,PH,77.34,overcast clouds,11.56,123.12,Solina Beach and Nature Resort
443,Majene,ID,77.97,broken clouds,-3.54,118.97,Kost Putri RABBANI
