City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Hobart,AU,2020-11-07 18:29:16,-42.88,147.33,42.01,86,0,9.17,clear sky
1,Saint-Philippe,RE,2020-11-07 18:31:51,-21.36,55.77,73.4,78,75,17.22,broken clouds
2,Thompson,CA,2020-11-07 18:31:51,55.74,-97.86,17.6,85,90,2.24,light snow
3,Gorin,RU,2020-11-07 18:31:51,51.2,136.67,19.67,90,100,5.86,overcast clouds
4,New Norfolk,AU,2020-11-07 18:31:13,-42.78,147.06,42.01,72,6,2.57,clear sky
5,Bredasdorp,ZA,2020-11-07 18:31:51,-34.53,20.04,60.8,72,0,9.17,clear sky
6,Biak,ID,2020-11-07 18:31:52,-0.91,122.88,77.5,74,92,6.02,light rain
7,Hasaki,JP,2020-11-07 18:29:27,35.73,140.83,59.0,93,75,4.7,mist
8,Kirakira,SB,2020-11-07 18:31:52,-10.45,161.92,78.84,82,42,5.12,light rain
9,Rikitea,PF,2020-11-07 18:31:52,-23.12,-134.97,71.24,74,53,19.42,broken clouds
10,Ponta Do Sol,PT,2020-11-07 18:31:03,32.67,-17.1,68.0,64,40,6.93,scattered clouds
11,Jamestown,US,2020-11-07 18:31:52,42.1,-79.24,66.99,42,1,9.17,clear sky
12,Qinhuangdao,CN,2020-11-07 18:31:52,39.93,119.59,38.19,52,0,6.2,clear sky
13,Albany,US,2020-11-07 18:30:02,42.6,-73.97,71.01,38,100,2.44,overcast clouds
14,Hermanus,ZA,2020-11-07 18:31:09,-34.42,19.23,64.99,56,0,11.99,clear sky
15,Avarua,CK,2020-11-07 18:31:53,-21.21,-159.78,73.4,88,100,2.24,overcast clouds
16,East London,ZA,2020-11-07 18:31:53,-33.02,27.91,71.6,83,0,9.17,clear sky
17,Tiksi,RU,2020-11-07 18:31:53,71.69,128.87,-8.07,91,0,1.9,clear sky
18,Porto Novo,BJ,2020-11-07 18:31:53,6.5,2.6,80.6,83,40,10.29,scattered clouds
19,Punta Arenas,CL,2020-11-07 18:31:00,-53.15,-70.92,59.0,51,75,21.92,broken clouds
20,Ancud,CL,2020-11-07 18:31:54,-41.87,-73.82,64.4,55,0,9.17,clear sky
21,Sampit,ID,2020-11-07 18:31:54,-2.53,112.95,75.22,96,79,1.07,heavy intensity rain
22,Ushuaia,AR,2020-11-07 18:31:05,-54.8,-68.3,60.8,41,75,23.04,broken clouds
23,Ahipara,NZ,2020-11-07 18:31:54,-35.17,173.17,61.7,85,91,11.56,overcast clouds
24,Kurilsk,RU,2020-11-07 18:31:54,45.23,147.88,46.04,89,95,1.88,overcast clouds
25,Severo-Kurilsk,RU,2020-11-07 18:31:29,50.68,156.12,34.57,82,0,3.29,clear sky
26,San Cristobal,VE,2020-11-07 18:28:08,7.77,-72.22,84.2,70,40,16.11,scattered clouds
27,Zhangye,CN,2020-11-07 18:31:55,38.93,100.45,41.04,48,0,6.82,clear sky
28,Kapaa,US,2020-11-07 18:31:01,22.08,-159.32,78.8,88,40,8.05,scattered clouds
29,Rabo De Peixe,PT,2020-11-07 18:31:55,37.8,-25.58,62.6,63,40,11.41,scattered clouds
30,Caravelas,BR,2020-11-07 18:31:55,-17.71,-39.25,81.12,69,0,8.39,moderate rain
31,Salalah,OM,2020-11-07 18:31:55,17.02,54.09,77.0,61,0,4.7,clear sky
32,Katsuura,JP,2020-11-07 18:31:56,35.13,140.3,62.01,72,75,4.7,broken clouds
33,Nanortalik,GL,2020-11-07 18:31:49,60.14,-45.24,32.41,90,100,6.42,overcast clouds
34,Kyzyl-Suu,KG,2020-11-07 18:31:56,42.34,78.01,40.08,54,0,9.15,clear sky
35,Takoradi,GH,2020-11-07 18:31:56,4.88,-1.76,79.23,86,96,8.14,light rain
36,Rundu,NA,2020-11-07 18:31:56,-17.93,19.77,85.17,26,0,6.2,clear sky
37,Am Timan,TD,2020-11-07 18:31:56,11.03,20.28,82.13,31,10,4.92,clear sky
38,Hilo,US,2020-11-07 18:31:56,19.73,-155.09,75.2,88,90,5.82,moderate rain
39,Norman Wells,CA,2020-11-07 18:31:27,65.28,-126.83,21.2,92,75,3.36,light snow
40,Zelenogorskiy,RU,2020-11-07 18:31:57,55.03,87.0,37.4,74,0,11.18,clear sky
41,Cape Town,ZA,2020-11-07 18:29:13,-33.93,18.42,64.99,82,75,13.87,broken clouds
42,Novikovo,RU,2020-11-07 18:31:57,51.15,37.89,43.75,81,0,9.15,clear sky
43,Puerto Ayora,EC,2020-11-07 18:30:21,-0.74,-90.35,77.0,65,40,18.34,scattered clouds
44,Aranos,NA,2020-11-07 18:31:58,-24.13,19.12,84.11,15,0,3.56,clear sky
45,Besuki,ID,2020-11-07 18:31:58,-7.73,113.7,79.61,74,0,1.88,clear sky
46,Rincon,US,2020-11-07 18:31:58,32.3,-81.24,80.6,61,75,14.99,broken clouds
47,Mandalgovi,MN,2020-11-07 18:31:58,45.76,106.27,25.47,72,0,7.99,clear sky
48,Linping,CN,2020-11-07 18:31:58,30.42,120.3,68.0,32,0,8.95,clear sky
49,Port Alfred,ZA,2020-11-07 18:31:04,-33.59,26.89,68.32,87,0,5.53,clear sky
50,Maceio,BR,2020-11-07 18:31:58,-9.67,-35.74,84.2,74,75,17.22,broken clouds
51,Bermeo,ES,2020-11-07 18:31:59,43.42,-2.72,63.0,77,0,2.24,clear sky
52,Souillac,MU,2020-11-07 18:31:56,-20.52,57.52,73.4,78,40,8.05,scattered clouds
53,Mataura,NZ,2020-11-07 18:31:59,-46.19,168.86,46.99,74,100,10.0,moderate rain
54,Vanimo,PG,2020-11-07 18:31:59,-2.67,141.3,76.1,92,100,3.36,light rain
55,Novyy Urengoy,RU,2020-11-07 18:30:44,66.08,76.63,32.32,98,100,4.85,overcast clouds
56,Henties Bay,NA,2020-11-07 18:31:59,-22.12,14.28,61.0,89,0,5.99,clear sky
57,Meulaboh,ID,2020-11-07 18:31:59,4.14,96.13,76.68,86,99,4.03,light rain
58,Ratnagiri,IN,2020-11-07 18:32:00,16.98,73.3,79.0,75,1,4.18,clear sky
59,Madaoua,NE,2020-11-07 18:32:00,14.07,5.96,82.81,15,0,8.39,clear sky
60,Kupang,ID,2020-11-07 18:27:56,-10.17,123.58,79.88,75,24,3.02,few clouds
61,Katangli,RU,2020-11-07 18:32:00,51.71,143.23,22.95,88,0,6.78,clear sky
