City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Torbay,CA,2020-11-07 00:43:08,47.67,-52.73,53.01,87,90,25.28
1,Ushuaia,AR,2020-11-07 00:47:55,-54.8,-68.3,53.6,32,40,12.75
2,Alushta,UA,2020-11-07 00:47:55,44.67,34.42,49.64,65,100,8.55
3,Pineville,US,2020-11-07 00:44:47,31.32,-92.43,64.4,72,1,3.36
4,Kahului,US,2020-11-07 00:47:55,20.89,-156.47,89.6,46,40,18.34
5,Port Alfred,ZA,2020-11-07 00:43:35,-33.59,26.89,62.74,69,100,4.03
6,Dikson,RU,2020-11-07 00:45:06,73.51,80.55,-0.35,89,0,4.92
7,Aklavik,CA,2020-11-07 00:47:56,68.22,-135.01,12.2,85,75,3.36
8,Hervey Bay,AU,2020-11-07 00:46:43,-25.3,152.85,80.01,54,37,4.0
9,Hobart,AU,2020-11-07 00:46:33,-42.88,147.33,55.0,53,75,14.99
10,Punta Arenas,CL,2020-11-07 00:45:03,-53.15,-70.92,51.8,53,75,12.75
11,Hithadhoo,MV,2020-11-07 00:46:26,-0.6,73.08,83.32,69,40,3.49
12,Busselton,AU,2020-11-07 00:47:57,-33.65,115.33,75.0,37,0,9.13
13,Puerto Ayora,EC,2020-11-07 00:47:57,-0.74,-90.35,68.0,78,0,5.01
14,Hanumangarh,IN,2020-11-07 00:47:57,29.58,74.32,61.07,30,0,3.56
15,Hilo,US,2020-11-07 00:43:19,19.73,-155.09,82.4,69,75,10.29
16,Atuona,PF,2020-11-07 00:47:57,-9.8,-139.03,78.39,75,90,14.99
17,Bluff,NZ,2020-11-07 00:47:57,-46.6,168.33,46.98,83,100,10.33
18,Nikolskoye,RU,2020-11-07 00:45:06,59.7,30.79,50.0,76,0,24.61
19,Lebu,CL,2020-11-07 00:44:02,-37.62,-73.65,52.86,79,0,20.62
20,Bereda,ES,2020-11-07 00:47:58,43.27,-7.54,55.0,100,100,1.01
21,Pisco,PE,2020-11-07 00:43:56,-13.7,-76.22,64.4,82,90,14.99
22,Araouane,ML,2020-11-07 00:47:58,18.9,-3.53,83.16,15,57,9.19
23,Lompoc,US,2020-11-07 00:47:44,34.64,-120.46,59.0,58,1,24.16
24,Mehran,IR,2020-11-07 00:47:58,33.12,46.16,60.8,51,40,9.17
25,Mataura,NZ,2020-11-07 00:45:13,-46.19,168.86,52.27,77,99,9.48
26,Uchaly,RU,2020-11-07 00:47:59,54.3,59.45,35.44,86,100,9.55
27,Hermanus,ZA,2020-11-07 00:47:59,-34.42,19.23,55.99,90,89,8.99
28,Norman Wells,CA,2020-11-07 00:43:46,65.28,-126.83,6.8,84,75,2.24
29,Macenta,GN,2020-11-07 00:47:59,8.54,-9.47,69.24,94,100,1.34
30,Cape Town,ZA,2020-11-07 00:46:22,-33.93,18.42,59.0,87,40,13.87
31,Butaritari,KI,2020-11-07 00:43:32,3.07,172.79,81.3,75,100,14.25
32,Beringovskiy,RU,2020-11-07 00:47:59,63.05,179.32,29.16,88,18,21.72
33,Surt,LY,2020-11-07 00:48:00,31.21,16.59,68.04,77,5,12.95
34,Steamboat Springs,US,2020-11-07 00:48:00,40.48,-106.83,54.0,46,90,5.14
35,Vaini,TO,2020-11-07 00:48:00,-21.2,-175.2,78.8,74,40,10.29
36,Barrow,US,2020-11-07 00:48:00,71.29,-156.79,10.4,85,75,9.17
37,Amapa,BR,2020-11-07 00:48:01,1.0,-52.0,72.75,95,100,2.48
38,Zabol,AF,2020-11-07 00:48:01,32.25,67.25,37.72,70,70,0.96
39,Khatanga,RU,2020-11-07 00:48:01,71.97,102.5,-5.35,90,0,6.93
